Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021389244,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020733606,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001461489032,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022947511,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736998,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737105,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021210060,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020733611,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001578186403,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021373048,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020741481,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377327269,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000095570998,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020967739,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307911,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307905,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001128837989,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022671475,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736635,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021576194,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000023028314,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000573518744,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307907,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574451491,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376555982,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940043827,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737059,Cluster 0
